id,name,provider,country,level,field_of_study,min_gpa,funding_type,value,deadline,eligibility,language_req,description,apply_url,source_url,source_type,collected_by,date_added,needs_review
SCH-012,IOE Centenary Masters Scholarships,IOE/ISH,UK,Masters,Education; Teaching; Pedagogy; Social Sciences; Arts; Science,Good academic standing,Fully Funded,"monthly stipend, tuition, accommodation",4 May 2026 (annual),"Domiciled in an eligible low or lower-middle income country according to the World Bank classification; have an official unconditional offer to study a full time master's degree at IOE.",English,"IOE is offering Centenary Masters Scholarships for students who plan to work either in their home country or another to improve the circumstances of disadvantaged, excluded or underachieving citizens. Full-time Taught Master's Degree programmes at UCL Institute of Education. Scholarships cover full tuition fees and accommodation at International Students House.",https://www.scholars4dev.com/10515/ioe-ish-centenary-masters-scholarships-for-international-students/,https://www.scholars4dev.com/10515/ioe-ish-centenary-masters-scholarships-for-international-students/,Official,Emmanuel,2026-06-30,no
SCH-013,Italian Government Scholarships for Foreign Students,Italian Government,Italy,Masters,Arts; Music; Dance; Sciences; Engineering; Humanities; Design,Good academic standing,Fully Funded,"9,000 euros, 3,000 euros, tuition, health insurance",26 March 2026 (annual),Applicants must provide a certificate of their proficiency in Italian language.,English,"The Ministry of Foreign Affairs and International Cooperation (MAECI) offers grants in favor of foreign citizens for the academic year 2026-2027 to foster international cultural, scientific and technological cooperation and to promote Italian language and culture. Grants are for study, training, and research programs at Italian Higher Education Institutes.",https://www.scholars4dev.com/3282/italian-government-scholarships-for-international-students/,https://www.scholars4dev.com/3282/italian-government-scholarships-for-international-students/,Official,Emmanuel,2026-06-30,no
SCH-014,Padua International Excellence Scholarship Programme,University of Padua,Italy,Undergraduate,Most bachelor's and master's degree programmes taught in English,Good academic standing,Partial,"€8,000, tuition fee waiver",10 Apr/2 May 2026 (annual),"Do not possess Italian citizenship; hold a non-Italian foreign secondary school certificate (for Bachelor's) or a non-Italian Bachelor's degree (for Master's); apply for English-taught degree programmes at the University of Padua.",English,"The University of Padua offers scholarships to highly talented prospective students wishing to pursue a Bachelor's or Master's degree completely held in English in Padua. The scholarship includes a subsistence allowance of €8,000 and a tuition fee waiver per academic year.",https://www.scholars4dev.com/23000/padova-international-excellence-scholarship-programme/,https://www.scholars4dev.com/23000/padova-international-excellence-scholarship-programme/,Official,Emmanuel,2026-06-30,no
SCH-015,Glasgow International Leadership Scholarships,Glasgow University,UK,Masters,Most postgraduate taught master's programmes,Good academic standing,Partial,"£10,000, tuition fee discount",admissions deadline (annual),"Hold an offer of a place for a postgraduate taught programme for September 2026; have International or EU (non-UK) fee status.",English,"The University of Glasgow has several Global Leadership Scholarships available to International fee students starting a postgraduate taught Masters programme in any discipline for Academic Session 2026/2027. The scholarship is awarded as a tuition fees discount.",https://www.scholars4dev.com/22676/glasgow-international-leadership-scholarship/,https://www.scholars4dev.com/22676/glasgow-international-leadership-scholarship/,Official,Emmanuel,2026-06-30,no
SCH-016,Melbourne International Undergraduate Scholarships,University of Melbourne,Australia,Undergraduate,Undergraduate programs across all faculties,Good academic standing,Partial,"$10,000",31 May/31 Oct 2026,"Citizen of a country with a Gross Domestic Product per capita of US$10,000 or less based on World Bank data; have applied for and meet the entry requirements for an Overseas Fee place in a bachelor degree.",English,"The International Undergraduate Scholarship is awarded to high achieving international students in recognition of their excellent academic results. The scholarship provides a 25 per cent fee sponsorship for the duration of the course.",https://www.scholars4dev.com/16130/melbourne-international-undergraduate-scholarships/,https://www.scholars4dev.com/16130/melbourne-international-undergraduate-scholarships/,Official,Emmanuel,2026-06-30,yes
SCH-017,Rotary Foundation Global Scholarship Grants for Development,Rotary Foundation,Various,Masters,Health; Education; Development; Peacebuilding; Water and Sanitation; Community Development,Good academic standing,Fully Funded,"$30,000, tuition",Rolling**,International students; verify country eligibility on the official site.,English,"The Rotary Foundation offers scholarship funding through the Rotary Foundation Global Grants. The scholarships fund graduate-level coursework or research in one of Rotary's six areas of focus: Peace and conflict prevention, Disease prevention and treatment, Water and sanitation, Maternal and child health, Basic education and literacy, and Economic and community development.",https://my.rotary.org/en/take-action/apply-grants/global-grants,https://www.scholars4dev.com/3902/rotary-international-ambassadorial-scholarships/,Official,Emmanuel,2026-06-30,yes
SCH-018,UAL/ISH International Postgraduate Scholarships,University of the Arts London,UK,Masters,Art; Design; Fashion; Media; Communication; Creative Arts,Good academic standing,Partial,"£10,000, tuition contribution",27 March/26 June 2026 (annual),You are not eligible to apply if you already hold a UK postgraduate taught qualification from studies undertaken in the UK or abroad.,English,"The UAL/ISH International Postgraduate Scholarship provides £10,000 tuition waiver scholarships to students from developing countries pursuing a full-time or part-time taught Masters course at one of UAL's six Colleges. Up to 288 scholarships are available for the 26/27 academic year.",https://www.scholars4dev.com/11659/ishual-graduate-scholarships-for-international-students/,https://www.scholars4dev.com/11659/ishual-graduate-scholarships-for-international-students/,Official,Emmanuel,2026-06-30,no
SCH-020,University of the People Online Tuition Free Degrees,University of the People,Online,Undergraduate,Computer Science; Business Administration; Health Science; Education,Good academic standing,Tuition-Free,"$120, $240, assessment fees only",19 Mar/28 May 2026 (annual),"Open to all students worldwide with a high-school qualification and English proficiency, with priority for those who have been in foster care.",English,"The University of the People is the world's first tuition-free, non-profit, American accredited, online university. It offers four-year bachelor's degree programs in business administration, computer science, and health science, making higher education accessible to students anywhere including across Africa.",https://www.scholars4dev.com/3630/free-online-education-at-university-of-the-people/,https://www.scholars4dev.com/3630/free-online-education-at-university-of-the-people/,Official,Emmanuel,2026-06-30,no
SCH-021,Manaaki New Zealand Scholarships for International Students,NZAID,New Zealand,Undergraduate,Agriculture; Education; Development; Management; Renewable Energy; Public Sector,Good academic standing,Fully Funded,"$615, $3,000, tuition, health insurance, living allowance",31 March 2026 (annual),Eligible international students to study fulltime at a New Zealand education institution or a Pacific university.,French/English,"The New Zealand Government offers full tertiary scholarships for eligible international students to study fulltime at a New Zealand education institution. Undergraduate and Postgraduate Degrees in preferred fields most relevant to the development needs of your country such as renewable energy, agriculture development, disaster risk management, and public sector development.",https://www.scholars4dev.com/2786/new-zealand-development-scholarships-for-africans-asians-latin-americans-and-pacific-islanders/,https://www.scholars4dev.com/2786/new-zealand-development-scholarships-for-africans-asians-latin-americans-and-pacific-islanders/,Official,Emmanuel,2026-06-30,no
SCH-022,Aga Khan Foundation International Scholarship Programme,Aga Khan Foundation,Various,Masters,Education; Development; Arts; Most postgraduate fields,Good academic standing,Fully Funded,"tuition, living allowance (50% grant; 50% loan)",31 Mar 2026 (annual),"Hold a Bachelor's degree or equivalent training; be admitted to a reputable postgraduate institution; have no other means of financing studies.",English,"The Aga Khan Foundation provides a limited number of scholarships each year for postgraduate studies to outstanding students from developing countries who have no other means of financing their studies. Scholarships are awarded on a 50% grant : 50% loan basis. The Foundation gives priority to Master's level courses.",https://www.scholars4dev.com/2467/aga-khan-international-scholarships-for-developing-countrie/,https://www.scholars4dev.com/2467/aga-khan-international-scholarships-for-developing-countrie/,Official,Emmanuel,2026-06-30,no
SCH-023,Australia Awards Scholarships,Australian Government,Australia,Undergraduate,Health; Education; Governance; Infrastructure; Agriculture; Development; Sustainability,Good academic standing,Fully Funded,"tuition, living allowance",30 April 2026 (annual),"Be a citizen of a participating country; not be a citizen of Australia or hold permanent residency; not be applying for a visa to live in Australia permanently.",English,"Australia Awards Scholarships provide opportunities for people from developing countries to undertake full time undergraduate or postgraduate study at participating Australian universities. Programmes are related to your country's priority areas for development.",https://www.dfat.gov.au/people-to-people/australia-awards/Pages/how-to-apply-for-an-australia-awards-scholarship,https://www.scholars4dev.com/3253/australia-awards-scholarships/,Official,Emmanuel,2026-06-30,no
SCH-024,Government of Flanders Master Mind Scholarships for International Students,Government of Flanders,Belgium,Masters,Education; Arts; Science; Engineering; Technology,Good academic standing,Partial,"€10,225, tuition",Feb-April 2026 (annual),Eligible Masters Degree Programmes offered at participating Flemish Institutions; excludes preparatory programmes and distance learning.,English,"The Flemish Ministry of Education awards scholarships for master's programmes in Flanders and Brussels to outstanding students from around the world. The programme aims to promote Flanders and Brussels as a top study destination at KU Leuven, University of Antwerp, Ghent University, and other Flemish institutions.",https://www.studyinflanders.be/scholarships/master-mind-scholarships/how-to-apply,https://www.scholars4dev.com/14865/government-of-flanders-master-mind-scholarships-for-international-students/,Official,Emmanuel,2026-06-30,no
SCH-025,Science@Leuven Scholarships for International Students,K.U. Leuven Faculty of Science,Belgium,Masters,Data Science; Mathematics; Physics; Chemistry; Biology; Computer Science; Science; Health; Development,Good academic standing,Fully Funded,"12,000 Euro, tuition, health insurance, living allowance",15 Feb 2026 (annual),"Master of Astronomy and Astrophysics; Master of Biophysics, Biochemistry and Biotechnology; Master of Biology; Master of Chemistry; Master of Geography; Master of Geology; Master of Mathematics; Master of Physics; Master of Statistics and Data Science.",English,"The Science@Leuven Scholarships are for motivated and talented international students interested in an international master programme of the Faculty of Science at KU Leuven. The amount of the scholarship can be up to 12,000 Euro for 1 year, always covering tuition fee, insurance and basic health insurance.",https://www.scholars4dev.com/3222/science-scholarships-for-international-students-at-ku-leuven/,https://www.scholars4dev.com/3222/science-scholarships-for-international-students-at-ku-leuven/,Official,Emmanuel,2026-06-30,no
SCH-026,Université Paris-Saclay International Master's Scholarships,Université Paris-Saclay,France,Masters,Science; Engineering; Mathematics; Computer Science; Economics; Data Science,Good academic standing,Stipend,"€10,000, €1,000, €650",25/31 March 2026 (annual),"Newly arrived international students, aged 30 and less during the course of the selection year; students of foreign nationality living in France for less than a year.",French,"The Université Paris-Saclay, through the IDEX scholarships, promotes access to its master's programs to international students. The scholarship supports highly-qualified foreign students wishing to develop an academic project through research up to the doctoral level at one of France's leading research universities.",https://www.scholars4dev.com/15259/universite-paris-saclay-international-masters-scholarships-2/,https://www.scholars4dev.com/15259/universite-paris-saclay-international-masters-scholarships-2/,Official,Emmanuel,2026-06-30,yes
SCH-027,Joint Japan World Bank Graduate Scholarship Program,Japan Gov't/World Bank,Various,Masters,Economics; Public Policy; Health; Education; Infrastructure; Development; Environment,Good academic standing,Fully Funded,"monthly stipend, tuition, travel allowance, health insurance",27 Feb/29 May 2026 (annual),"Be a national of a World Bank member developing country; hold a bachelor's degree earned at least 3 years prior to the deadline; be employed in development-related work in a paid full-time position at time of application; have at least 3 years of paid development-related experience.",English,"The Joint Japan/World Bank Graduate Scholarship Program (JJ/WBGSP) is open to women and men from developing countries with relevant professional experience and a history of supporting their countries' development efforts who are applying to a master degree program in a development-related topic. Scholarships cover tuition, a monthly living stipend, round-trip airfare, and health insurance.",https://www.scholars4dev.com/2735/japan-world-bank-graduate-scholarships-for-development-related-studies/,https://www.scholars4dev.com/2735/japan-world-bank-graduate-scholarships-for-development-related-studies/,Official,Emmanuel,2026-06-30,no
SCH-028,VLIR-UOS ICP Connect Scholarships in Belgium,VLIR-UOS,Belgium,Masters,Engineering; Computer Science; Data Science; Environmental Science; Education; Development; Management; Agriculture; Science,Good academic standing,Fully Funded,"tuition, health insurance, living allowance",1/28 Feb 2026 (annual),"Students from 30 eligible countries in Africa, Asia and Latin-America to attend one of the study programmes taught in English at Flemish universities. Africa: Benin, Burkina Faso, Burundi, Cameroon, Democratic Republic of the Congo, Ethiopia, Guinea, Kenya, Madagascar, Mali, Morocco, Mozambique, Niger, Rwanda, Senegal, South Africa, Tanzania, Uganda, Zimbabwe.",English,"VLIR-UOS awards ICP Connect Master's scholarships to students from eligible developing countries to attend study programmes taught in English at Flemish universities. The scholarships cover tuition fees, health insurance, and a living allowance.",https://www.scholars4dev.com/2257/vlir-uos-masters-scholarships-for-developing-countries/,https://www.scholars4dev.com/2257/vlir-uos-masters-scholarships-for-developing-countries/,Official,Emmanuel,2026-06-30,no
SCH-029,University of Geneva Excellence Masters Fellowships,University of Geneva,Switzerland,Masters,Science; Chemistry; Physics; Biology; Mathematics; Computer Science; Environmental Science,Good academic standing,Stipend,"CHF 10,000-15,000 per year",28 Feb 2026 (annual),International students; verify country eligibility on the official site.,English,"The Faculty of Science of the University of Geneva has established an Excellence Fellowship Program to support outstanding and highly motivated candidates who intend to pursue a Master of Science in any of the disciplines covered by the Faculty. The scholarship is awarded for one year and extended for the regular duration of the Master's programme provided the applicant is academically successful.",https://www.scholars4dev.com/13822/university-of-geneva-excellence-masters-fellowships/,https://www.scholars4dev.com/13822/university-of-geneva-excellence-masters-fellowships/,Official,Emmanuel,2026-06-30,yes
SCH-030,York University International Student Scholarships,York University,Canada,Undergraduate,Engineering; Business; Health; Environmental Science; Education; Arts; Design; Media; Science,Good academic standing,Partial,"$180,000, $45,000 renewable",26 Jan 2026 (annual),International students; verify country eligibility on the official site.,English,"York University offers scholarships for international students pursuing a full-time undergraduate degree. Any undergraduate degree program beginning in the Fall 2025 term under the faculties of Arts, Media, Performance & Design; Environmental Studies; Education; Health; Lassonde School of Engineering; Science; or the Schulich School of Business. Scholarships are renewable for three years provided high academic standing is maintained.",https://www.scholars4dev.com/3410/international-undergraduate-scholarships-at-york-university/,https://www.scholars4dev.com/3410/international-undergraduate-scholarships-at-york-university/,Official,Emmanuel,2026-06-30,yes
SCH-031,Macquarie Vice-Chancellor's International Scholarships,Macquarie University,Australia,Undergraduate,Health; Arts; Science; Engineering; Business; Education,Good academic standing,Partial,"$10,000, tuition",Ongoing (annual),"Achieve a minimum WAM equivalent of 65 for Postgraduate applications; or a minimum ATAR equivalent of 85 for Undergraduate applications.",English,"The Macquarie University Vice-Chancellor's International Scholarship is awarded to recognise academic excellence for international students. It provides a partial tuition fee scholarship for outstanding students to study an undergraduate or postgraduate degree at Macquarie University. The scholarship amount is up to AUD$10,000 and is applied towards tuition fees.",https://www.scholars4dev.com/1398/macquarie-university-scholarships-for-international-students/,https://www.scholars4dev.com/1398/macquarie-university-scholarships-for-international-students/,Official,Emmanuel,2026-06-30,no
