<<<<<<< HEAD
id,name,provider,country,level,field_of_study,min_gpa,funding_type,value,deadline,eligibility,language_req,description,apply_url,source_url,source_type,collected_by,date_added,needs_review
SCH-012,IOE Centenary Masters Scholarships,IOE/ISH,UK,Masters,Education; Arts; Science,Good academic standing,Fully Funded,"monthly stipend, tuition, accommodation",4 May 2026 (annual),domiciled in an eligible low or lower-middle income country according to the World Bank classification (see above list) • have an official unconditional offer to study a full time master’s degree at IOE (letter issued by UCL Admissions),English,"Last updated: 31 Mar 2026 | CURRENTLY CLOSED IOE/ISH Masters Degree Deadline: 4 May 2026 (annual) Study in: London, UK Course starts Sept/Oct 2026 Deadline: 4 May 2026 (annual) Study in: London, UK Course starts Sept/Oct 2026 For 2025/26, IOE is offering Centenary Masters Scholarships for students who plan to work either in their home country, or another, to improve the circumstances of disadvantaged, excluded or underachieving citizens. Institute of Education, University College London in UK Full-time Taught Master’s Degree programmes offered at UCL Institute of Education except for MA Educational Neuroscience or for any online courses. For PhD Studies, refer to IOE Centenary Doctoral Scholarships . Students from low or lower-middle income countries according to World Bank Scholarships will cover full tuition fees and accommodation at International Students House for one academic year p",https://www.scholars4dev.com/10515/ioe-ish-centenary-masters-scholarships-for-international-students/,https://www.scholars4dev.com/10515/ioe-ish-centenary-masters-scholarships-for-international-students/,Official,Emmanuel,2026-06-30,no
SCH-013,Italian Government Scholarships for Foreign Students,Italian Government,Italy,Masters,"Higher Education in Arts, Music, and Dance (AFAM)",Good academic standing,Fully Funded,"9,000 euros, 3,000 euros, tuition, health insurance",26 March 2026 (annual),applicants must provide a certificate of their proficiency in Italian language.,English,"Last updated: 18 Mar 2026 | CURRENTLY CLOSED Italian Government Masters/PhD Degrees Deadline: 26 March 2026 (annual) Study in: Italy Course starts AY 2026/2027 Deadline: 26 March 2026 (annual) Study in: Italy Course starts AY 2026/2027 The Ministry of Foreign Affairs and International Cooperation (MAECI) offers grants in favor of foreign citizens not residing in Italy and Italian citizens living abroad (IRE)* for the academic year 2026-2027 in order to foster international cultural, scientific and technological cooperation, to promote Italian language and culture and to support Italy’s economic system in the world (According to Law 288/55 and its subsequent changes and additions). Grants are offered to pursue study, training, and/or research programs at Italian Higher Education Institutes, both public and legally recognized. Bachelor’s Degree (Laurea Triennale, 1° ciclo) or Single Cycle",https://www.scholars4dev.com/3282/italian-government-scholarships-for-international-students/,https://www.scholars4dev.com/3282/italian-government-scholarships-for-international-students/,Official,Emmanuel,2026-06-30,no
SCH-014,Padua International Excellence Scholarship Programme,University of Padua,Italy,Undergraduate,the University of Padua according to the procedures and within the deadlines set,Good academic standing,Partial,"€8,000, tuition",10 Apr/2 May 2026 (annual),do not possess an Italian citizenship (except for dual citizenship including Italian); • hold a non-Italian foreign secondary school certificate (for Bachelor’s or Single cycle degrees applicants) or a non-Italian Bachelor’s degree (for Master’s degrees applicants) allowing admission to the Italian University system; • apply for one or more English-taught degree programmes of the University of Pad,English,"Last updated: 18 Mar 2026 | CURRENTLY CLOSED University of Padua Bachelors/Masters Degree Deadline: 10 Apr/2 May 2026 (annual) Study in: Italy Course starts September 2026 University of Padua Bachelors/Masters Degree Deadline: 10 Apr/2 May 2026 (annual) Study in: Italy Course starts September 2026 The University of Padua offers scholarships to highly talented prospective students wishing to pursue a Bachelor’s or Master’s degree completely held in English in Padua. English-taught Bachelor’s or Master’s degrees offered at the University. 69 Padua International Excellence Scholarships and 30 scholarships given by Departments of the University of Padua Highly talented prospective international students from all over the world The scholarship includes a subsistence allowance of €8,000 and a tuition fee waiver per academic year. The only amount to be paid by beneficiary students for each year",https://www.scholars4dev.com/23000/padova-international-excellence-scholarship-programme/,https://www.scholars4dev.com/23000/padova-international-excellence-scholarship-programme/,Official,Emmanuel,2026-06-30,no
SCH-015,Glasgow International Leadership Scholarships,Glasgow University,UK,Masters,Law; Arts,Good academic standing,Partial,"£10,000., tuition",admissions deadline (annual),hold an offer of a place for a postgraduate taught programme for September 2026 •  have International or EU (non-UK) fee status,English,"Glasgow University Masters Degree Deadline: admissions deadline (annual) Study in: UK Course starts Sept 2026 Deadline: admissions deadline (annual) Study in: UK Course starts Sept 2026 The University of Glasgow has several Global Leadership Scholarships available to International fee students starting a postgraduate taught Masters programme in any discipline for Academic Session 2026/2027. The scholarship is awarded as a tuition fees discount. Postgraduate Taught Master Programmes in any discipline offered at the University (see the list at the official website) Afghanistan, Albania, Algeria, Andorra, Angola, Anguilla, Antigua and Barbuda, Argentina, Armenia, Australia, Azerbaijan, Bahamas, Bahrain, Bangladesh, Barbados, Belarus, Belize, Benin, Bermuda, Bhutan, Bolivia, Bosnia and Herzegovina, Botswana, Brazil, British Virgin Islands, Brunei, Burkina Faso, Burundi, Cambodia, Cameroon, C",https://www.scholars4dev.com/22676/glasgow-international-leadership-scholarship/,https://www.scholars4dev.com/22676/glasgow-international-leadership-scholarship/,Official,Emmanuel,2026-06-30,no
SCH-016,Melbourne International Undergraduate Scholarships,University of Melbourne,Australia,Undergraduate,Australia • Not have previously undertaken tertiary studies (excluding extension studies completed as part of a year 12 program) Application instructions: No application is required,Good academic standing,,"$10,000",31 May/31 Oct 2026,"citizen of a country with a Gross Domestic Product per capita of US$10,000 or less based on data published by the World Bank.",English,"University of Melbourne Bachelors Degree Deadline: 31 May/31 Oct 2026 Study in: Australia Next course starts July 2026/Feb 2027 Deadline: 31 May/31 Oct 2026 Study in: Australia Next course starts July 2026/Feb 2027 The International Undergraduate Scholarship is awarded to high achieving international students in recognition of their excellent academic results. Any undergraduate degree offered at University of Melbourne The scholarship provides a 25 per cent fee sponsorship for the duration of the course. To be considered for a fee remission scholarship you must: • Be a citizen of a country with a Gross Domestic Product per capita of US$10,000 or less based on data published by the World Bank. For the complete list of countries, see: Eligible countries • Have applied for and meet the entry requirements for an Overseas Fee place in a bachelor degree • Have completed secondary school outsid",https://www.scholars4dev.com/16130/melbourne-international-undergraduate-scholarships/,https://www.scholars4dev.com/16130/melbourne-international-undergraduate-scholarships/,Official,Emmanuel,2026-06-30,yes
SCH-017,Rotary Foundation Global Scholarship Grants for Development,Rotary Foundation,Various,Masters,Health; Education; Development; Arts,Good academic standing,,"$30,000, tuition",Rolling**,International students; verify country eligibility on the official site.,English,"Rotary Foundation Masters/PhD Degrees Deadline: Rolling** Study in: any Country* Course starts AY 2026/2027 Deadline: Rolling** Study in: any Country* Course starts AY 2026/2027 The Rotary Foundation offers scholarship funding through the Rotary Foundation Global Grants. The scholarships funds graduate-level coursework or research for one to four academic years. *Any approved University located in a country where there is a host Rotary club or district, outside of the applicant’s home country Graduate-level coursework or research in one of Rotary’s six areas of focus: Peace and conflict prevention/resolution, Disease prevention and treatment, Water and sanitation, Maternal and child health, Basic education and literacy, and Economic and community development. Non-Rotarians sponsored by Rotary District or Clubs The minimum budget for a global grant scholarship is $30,000 which can fund th",https://my.rotary.org/en/take-action/apply-grants/global-grants,https://www.scholars4dev.com/3902/rotary-international-ambassadorial-scholarships/,Official,Emmanuel,2026-06-30,yes
SCH-018,UAL/ISH International Postgraduate Scholarships,University of the Arts London,UK,Masters,Arts,Good academic standing,Partial,"£10,000, tuition",27 March/26 June 2026 (annual),You are not eligible to apply if you already hold a UK postgraduate taught qualification (or one at an equivalent level) from studies undertaken in the UK or abroad.,English,"University of the Arts London Masters Degree Deadline: 27 March/26 June 2026 (annual) Study in: UK Course starts August 2026 University of the Arts London Masters Degree Deadline: 27 March/26 June 2026 (annual) Study in: UK Course starts August 2026 The UAL/ISH International Postgraduate Scholarship provides £10,000 tuition waiver scholarships to students from developing countries who are pursuing a full-time or part-time taught Masters course at one of UAL’s six Colleges starting in the academic year of 2026. University of the Arts London, United Kingdom Any full-time or part-time taught Master’s course (Grad Dip, M ARCH, MA, MFA, MBA, MRes or MSc qualification) at one of UAL’s six Colleges starting in 2026. Up to 288 scholarships are available for the 26/27 academic year. Students who are ordinarily residents in one of the low income economy countries (see the official website for the",https://www.scholars4dev.com/11659/ishual-graduate-scholarships-for-international-students/,https://www.scholars4dev.com/11659/ishual-graduate-scholarships-for-international-students/,Official,Emmanuel,2026-06-30,no
SCH-020,University of the People Online Tuition Free Degrees,University of the People,Online,Undergraduate,"business administration, computer science, and health science, as well as an MBA program",Good academic standing,Fully Funded,"$120, $240, $60., tuition",19 Mar/28 May 2026 (annual),"open to all students, with priority for those who have been in foster care.",English,"University of the People Bachelors Degree Deadline: 19 Mar/28 May 2026 (annual) Study in: any Country (online) Next term starts 9 Apr/18 June 2026 Deadline: 19 Mar/28 May 2026 (annual) Study in: any Country (online) Next term starts 9 Apr/18 June 2026 The University of the People is the Education Revolution. It is the world’s first tuition-free, non-profit, American accredited, online university. With a groundbreaking online learning model and instructors from the world’s foremost academic volunteers, UoPeople offers the opportunity to pursue a high quality and invaluable American degree. The university offers two-year associate and four-year bachelor’s degree programs in business administration, computer science, and health science, as well as an MBA program. Recently, the University of the People (UoPeople) and the International Baccalaureate (IB) have launched a tuition-free, online M",https://www.scholars4dev.com/3630/free-online-education-at-university-of-the-people/,https://www.scholars4dev.com/3630/free-online-education-at-university-of-the-people/,Official,Emmanuel,2026-06-30,no
SCH-021,Manaaki New Zealand Scholarships for International Students,NZAID,New Zealand,Undergraduate,Agriculture; Education; Development; Management; Arts,Good academic standing,Fully Funded,"$615, $3000, tuition, health insurance, living allowance",31 March 2026 (annual),eligible international students to study fulltime at a New Zealand education institution or a Pacific university.,French/English,"Last updated: 18 Feb 2026 | CURRENTLY CLOSED NZAID Bachelors/Masters/PhD Degree Deadline: 31 March 2026 (annual) Study in: New Zealand Next course starts 2026 Deadline: 31 March 2026 (annual) Study in: New Zealand Next course starts 2026 The New Zealand Government offers full tertiary scholarships for eligible international students to study fulltime at a New Zealand education institution or a Pacific university. Eligible New Zealand universities and institutes of technology. Undergraduate and Postgraduate Degrees in preferred fields of study that are most relevant to the development needs of your country (i.e. renewable energy, agriculture development, disaster risk management, private sector development, public sector development). Find out the preferred subjects for your country . The scholarships are open to citizens of selected countries in the Pacific and Asia. Please see the compl",https://www.scholars4dev.com/2786/new-zealand-development-scholarships-for-africans-asians-latin-americans-and-pacific-islanders/,https://www.scholars4dev.com/2786/new-zealand-development-scholarships-for-africans-asians-latin-americans-and-pacific-islanders/,Official,Emmanuel,2026-06-30,no
SCH-022,Aga Khan Foundation International Scholarship Programme,Aga Khan Foundation,Various,Masters,Education; Development; Arts,Good academic standing,Fully Funded,"tuition, living allowance",31 Mar 2026 (annual),hold a Bachelor’s degree or equivalent training/professional experience; •  be admitted to a reputable postgraduate institution***; and,English,"Last updated: 18 Feb 2026 | CURRENTLY CLOSED Aga Khan Foundation Masters/PhD Degree Deadline: 31 Mar 2026 (annual) Study in: any Country Course starts 2026 Deadline: 31 Mar 2026 (annual) Study in: any Country Course starts 2026 The Aga Khan Foundation provides a limited number of scholarships each year for postgraduate studies to outstanding students from developing countries who have no other means of financing their studies. Scholarships are awarded on a 50% grant : 50% loan basis through a competitive application process once a year. Any reputable university or postgraduate institution of higher learning. The Foundation gives priority to requests for Master’s level courses but is willing to consider applications for PhD programmes. Applications for short-term courses are not considered. Nationals of the following countries: Afghanistan, Bangladesh, Canada*, Egypt, France*, India, Keny",https://www.scholars4dev.com/2467/aga-khan-international-scholarships-for-developing-countrie/,https://www.scholars4dev.com/2467/aga-khan-international-scholarships-for-developing-countrie/,Official,Emmanuel,2026-06-30,no
SCH-023,Australia Awards Scholarships,Australian Government,Australia,Undergraduate,study at an academic level lower than already achieved (e.g,Good academic standing,Fully Funded,"tuition, living allowance",30 April 2026 (annual),"be a citizen of a participating country (as listed on the Australia Awards website) and be residing in and applying for the scholarship from their country of citizenship; • not be a citizen of Australia, hold permanent residency in Australia or be applying for a visa to live in Australia permanently; • not be married to, engaged to, or a de facto of a person who holds, or is eligible to hold, Aust",English,"Last updated: 06 Feb 2026 | CURRENTLY CLOSED Australian Government Bachelors/Masters/PhD Degrees Deadline: 30 April 2026 (annual) Study in: Australia Course starts 2027 Australian Government Bachelors/Masters/PhD Degrees Deadline: 30 April 2026 (annual) Study in: Australia Course starts 2027 Australia Awards Scholarships, formerly known as Australian Development Scholarships (ADS), provide opportunities for people from developing countries, particularly those countries located in the Indo-Pacific region, to undertake full time undergraduate or postgraduate study at participating Australian universities and Technical and Further Education (TAFE) institutions. Any of the Participating Australian Institutions Undergraduate or Postgraduate Programmes that are related to your country’s priority areas for development which are listed on the participating country profiles. Australia Awards are",https://www.dfat.gov.au/people-to-people/australia-awards/Pages/how-to-apply-for-an-australia-awards-scholarship,https://www.scholars4dev.com/3253/australia-awards-scholarships/,Official,Emmanuel,2026-06-30,no
SCH-024,Government of Flanders Master Mind Scholarships for International Students,Government of Flanders,Belgium,Masters,Education; Arts; Science,Good academic standing,Partial,"€10,225, tuition",Feb-April 2026 (annual),Eligible Masters Degree Programmes offered at participating Flemish Institutions except preparatory programmes; bridging programmes; or distance learning.,English,Last updated: 06 Feb 2026 | CURRENTLY CLOSED Government of Flanders Masters Degree Deadline: Feb-April 2026 (annual) Study in: Belgium Course starts 2026 Deadline: Feb-April 2026 (annual) Study in: Belgium Course starts 2026 The Flemish Ministry of Education awards scholarships for master’s programmes in Flanders and Brussels to outstanding students from around the world. The programme aims to promote Flanders and Brussels as a top study destination. KU Leuven / University of Leuven University of Antwerp Ghent University Hasselt University Vrije Universiteit Brussel Universities of Applied Sciences and Arts Antwerp Maritime Academy AP University of Applied Sciences and Arts Erasmus Brussels University of Applied Sciences and Arts HOGENT University of Applied Sciences and Arts KdG University of Applied Sciences and Arts LUCA School of Arts PXL University of Applied Sciences and Arts Eligi,https://www.studyinflanders.be/scholarships/master-mind-scholarships/how-to-apply,https://www.scholars4dev.com/14865/government-of-flanders-master-mind-scholarships-for-international-students/,Official,Emmanuel,2026-06-30,no
SCH-025,Science@Leuven Scholarships for International Students,K.U. Leuven Faculty of Science,Belgium,Masters,Data Science; Mathematics; Health; Development; Arts; Science; Physics; Chemistry; Biology,Good academic standing,Fully Funded,"12.000 Euro, tuition, health insurance, living allowance",15 Feb 2026 (annual),"Master of Astronomy and Astrophysics • Master of Biophysics, Biochemistry and Biotechnology • Master of Biology • Master of Chemistry • Master of Geography • Interuniversity Master of Geology (only students applying for the specialisation Geodynamics and Georesources or Surface processes and Paleoenvironments can apply for the scholarship.  Students applying for the other specialisations (enrollme",English,"Last updated: 06 Feb 2026 | CURRENTLY CLOSED K.U. Leuven Faculty of Science Masters (MS) Degree Deadline: 15 Feb 2026 (annual) Study in: Belgium Next course starts September 2026 K.U. Leuven Faculty of Science Masters (MS) Degree Deadline: 15 Feb 2026 (annual) Study in: Belgium Next course starts September 2026 The Science@Leuven Scholarships are for motivated and talented international students who are interested in participating in an international master programme of the Faculty of Science of the K.U.Leuven. Katholieke Universiteit Leuven in Belgium The amount of the scholarship can be up to 12.000 Euro for 1 year. The scholarship will always cover the tuition fee for 1 year, the insurance and a basic health insurance coverage. The amount awarded for living expenses can vary. For two-year Master’s programmes, the scholarship for the second master year will be only be continued on the",https://www.scholars4dev.com/3222/science-scholarships-for-international-students-at-ku-leuven/,https://www.scholars4dev.com/3222/science-scholarships-for-international-students-at-ku-leuven/,Official,Emmanuel,2026-06-30,no
